,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
716832,A-716908,MapQuest,201.0,2,2020-08-05 08:05:39,2020-08-05 10:10:00,39.253368,-114.874191,,,0.0,Accident on US-93 Aultman St at US-50 Great Basin Blvd.,2598.0,Aultman St,R,Ely,White Pine,NV,89301,US,US/Pacific,KELY,2020-08-05 07:53:00,68.0,68.0,21.0,23.92,10.0,SSE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
3018323,A-3019402,Bing,,2,2020-11-25 09:09:00,2020-11-25 10:55:26,28.142515000000003,-82.410318,28.116367999999998,-82.42294,1.963,Incident on I-275 SB near MM 57 Right lane blocked. Expect delays.,,I-275 S,R,Lutz,Hillsborough,FL,33559,US,US/Eastern,KVDF,2020-11-25 09:15:00,73.0,73.0,69.0,30.21,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1137800,A-1137903,MapQuest,201.0,2,2019-11-20 10:12:11,2019-11-20 11:46:00,32.380871,-110.96401200000001,,,0.0,Accident on Linda Vista Blvd at AZ-77 Oracle Rd.,,E Linda Vista Blvd,R,Tucson,Pima,AZ,85704,US,US/Mountain,KDMA,2019-11-20 09:58:00,60.0,60.0,69.0,26.99,10.0,S,15.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
694864,A-694893,MapQuest,201.0,2,2020-07-17 18:56:48,2020-07-17 19:25:04,34.170277,-118.501373,,,0.0,#3 #4 lane blocked due to accident on US-101 Westbound after Balboa Blvd.,,US-101 S,R,Encino,Los Angeles,CA,91316,US,US/Pacific,KVNY,2020-07-17 18:51:00,82.0,82.0,35.0,29.05,10.0,SE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3239271,A-3243460,Bing,,2,2020-09-25 22:31:00,2020-09-26 03:01:55,39.232153000000004,-120.016737,39.232681,-120.016473,0.039,Incident on CHIPMUNK ST near HOUSE 144 Drive with caution.,1.0, Chipmunk St,L,Kings Beach,Placer,CA,96143,US,US/Pacific,KTRK,2020-09-25 22:35:00,46.0,46.0,66.0,24.33,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
4228378,A-4235244,Bing,,2,2019-08-14 08:06:26,2019-08-14 08:35:05,38.209568,-122.148552,38.203720000000004,-122.15536999999999,0.5479999999999999,Between CA-12 West and Red Top Rd - Accident.,,I-80 W,R,Fairfield,Solano,CA,94534,US,US/Pacific,KAPC,2019-08-14 07:54:00,66.0,66.0,78.0,29.93,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
648673,A-648701,MapQuest,201.0,2,2020-10-16 06:23:49,2020-10-16 07:26:37,34.200615,-118.339561,,,0.0,Accident on I-5 Southbound at Exit 148 San Fernando Blvd.,,Golden State Fwy S,R,Burbank,Los Angeles,CA,91504,US,US/Pacific,KBUR,2020-10-16 06:53:00,66.0,66.0,38.0,29.09,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
528607,A-528627,MapQuest,201.0,3,2020-12-17 06:29:56,2020-12-17 07:47:27,37.57708,-77.46401999999999,,,0.0,Left lane closed and left hand shoulder closed due to accident on I-95 Northbound before Exit 78 I-64.,,I-64 W,R,Richmond,Richmond City,VA,23230,US,US/Eastern,KOFP,2020-12-17 06:22:00,30.0,25.0,85.0,29.73,10.0,VAR,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
1009495,A-1009591,MapQuest,201.0,2,2019-12-10 10:51:10,2019-12-10 13:38:00,35.341595,-80.767708,,,0.0,Accident on Mallard Creek Church Rd at Mallard Creek Rd .,10400.0,Mallard Creek Rd,L,Charlotte,Mecklenburg,NC,28262-9771,US,US/Eastern,KJQF,2019-12-10 10:50:00,63.0,63.0,94.0,29.24,5.0,SW,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1018289,A-1018385,MapQuest,201.0,2,2019-12-13 15:33:57,2019-12-13 17:29:22,34.051441,-82.241753,,,0.0,Accident on US-221 at Cedar Grove Rd.,4701.0,US Highway 221 S,R,Bradley,Greenwood,SC,29819-2205,US,US/Eastern,KGRD,2019-12-13 15:56:00,38.0,31.0,100.0,29.27,3.0,NNE,9.0,0.07,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1115798,A-1115901,MapQuest,241.0,3,2019-11-11 06:16:48,2019-11-11 07:31:21,43.06041,-88.05336,,,0.0,Lane blocked due to accident on I-41 Southbound at Exits 42A 42B North Ave.,,US-41 S,R,Milwaukee,Milwaukee,WI,53226,US,US/Central,KMWC,2019-11-11 06:15:00,19.0,5.0,80.0,29.46,3.0,N,15.0,0.0,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
596701,A-596728,MapQuest,201.0,2,2020-09-10 10:52:34,2020-09-10 11:52:18,45.225753999999995,-94.941475,,,0.0,Accident on MN-23 at South St.,,South St,R,Spicer,Kandiyohi,MN,56288,US,US/Central,KBDH,2020-09-10 10:55:00,52.0,52.0,67.0,29.29,10.0,S,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1595741,A-1595849,MapQuest,201.0,2,2019-02-18 09:37:21,2019-02-18 10:37:07,33.753997999999996,-78.853447,,,0.0,Accident on SC-31 Carolina Bays Pkwy at Robert M Grissom Pkwy.,,Carolina Bays Pkwy S,R,Myrtle Beach,Horry,SC,29579,US,US/Eastern,KMYR,2019-02-18 09:28:00,55.4,,88.0,30.04,10.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
971544,A-971638,MapQuest,201.0,2,2020-02-25 08:51:06,2020-02-25 09:35:07,33.420708000000005,-111.89111299999999,,,0.0,Left hand shoulder blocked due to accident on AZ-101-LOOP Northbound at Exit 52 University Dr.,,AZ-101 Loop N,R,Tempe,Maricopa,AZ,85281,US,US/Mountain,KPHX,2020-02-25 08:51:00,60.0,60.0,20.0,28.97,10.0,N,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1247043,A-1247146,MapQuest,201.0,2,2019-08-30 08:43:36,2019-08-30 09:34:36,35.596759999999996,-97.727203,,,0.0,Accident on OK-3 Expressway St Eastbound at Mustang Rd.,13113.0,NW Expressway,R,Yukon,Canadian,OK,73099,US,US/Central,KRCE,2019-08-30 08:35:00,70.0,70.0,94.0,28.7,9.0,N,14.0,0.0,T-Storm,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
641879,A-641907,MapQuest,201.0,2,2020-10-13 06:56:39,2020-10-13 08:27:09,34.475941,-82.618668,,,0.0,Accident on SC-263 White St Ext at Pocalla Way.,2.0,Pocalla Way,R,Anderson,Anderson,SC,29624-3906,US,US/Eastern,KAND,2020-10-13 06:56:00,61.0,61.0,97.0,29.11,0.75,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
3141630,A-3144429,Bing,,2,2020-10-21 22:32:00,2020-10-22 00:35:08,33.949288,-118.251139,33.947434,-118.251199,0.128,Incident on ZAMORA AVE near HOUSE 9723 Drive with caution.,9599.0, Zamora Ave,R,Los Angeles,Los Angeles,CA,90002-2152,US,US/Pacific,KHHR,2020-10-21 22:53:00,67.0,67.0,76.0,29.79,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3170141,A-3173364,Bing,,2,2020-12-16 23:09:10,2020-12-17 00:47:46,40.244243,-75.339221,40.243953000000005,-75.338719,0.033,Incident on SUMNEYTOWN PIKE near REIFF RD Drive with caution.,1687.0, Sumneytown Pike,L,Lansdale,Montgomery,PA,19446-4833,US,US/Eastern,KLOM,2020-12-16 23:15:00,26.0,12.0,92.0,29.39,1.0,ENE,21.0,0.01,Light Snow / Windy,True,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3407937,A-3414388,Bing,,2,2020-11-30 02:29:00,2020-11-30 04:32:48,30.325021999999997,-81.68003399999999,30.319052000000003,-81.681164,0.418,Incident on I-95 SB near FOREST ST Drive with caution.,,I-95 S,R,Jacksonville,Duval,FL,32204,US,US/Eastern,KNIP,2020-11-30 02:53:00,68.0,68.0,87.0,29.78,10.0,SSW,14.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3673710,A-3680560,Bing,,2,2020-01-10 10:24:00,2020-01-10 11:18:28,37.32318,-121.896249,37.32318,-121.896249,0.0,At CA-87/Guadalupe Pky - Accident.,,I-280 N,R,San Jose,Santa Clara,CA,95126,US,US/Pacific,KSJC,2020-01-10 10:53:00,52.0,52.0,69.0,30.28,10.0,VAR,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
691914,A-691943,MapQuest,201.0,2,2020-07-16 17:18:01,2020-07-16 18:17:36,41.819247999999995,-71.389572,,,0.0,Left hand shoulder blocked due to accident on I-195 Westbound at Exit 3 Gano St.,,I-195 W,R,Providence,Providence,RI,02903,US,US/Eastern,KPVD,2020-07-16 16:51:00,72.0,72.0,64.0,30.24,10.0,SSE,16.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1283410,A-1283513,MapQuest,201.0,3,2019-07-20 23:32:41,2019-07-21 00:20:24,33.925064,-118.209892,,,0.0,Right hand shoulder blocked due to accident on I-105 Westbound before Exit 12 Long Beach Blvd.,,Glenn Anderson Fwy W,R,Lynwood,Los Angeles,CA,90262,US,US/Pacific,KHHR,2019-07-20 23:53:00,65.0,65.0,78.0,29.85,10.0,WSW,8.0,0.0,Fair,False,False,False,False,False,False,True,False,True,False,False,False,False,Night,Night,Night,Night
1250685,A-1250788,MapQuest,201.0,3,2019-07-02 17:56:32,2019-07-02 23:09:19,39.923725,-86.2285,,,0.0,Center lane blocked due to accident on I-465 Westbound at Exit 27 US-421 Michigan Rd.,,I-465 E,R,Indianapolis,Marion,IN,46268,US,US/Eastern,KEYE,2019-07-02 17:53:00,91.0,91.0,48.0,29.02,10.0,SW,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1210069,A-1210172,MapQuest,201.0,2,2019-09-11 09:34:18,2019-09-11 11:05:00,30.3125,-97.716347,,,0.0,Accident on Caswell Ave near 51st St.,716.0,E 51st St,L,Austin,Travis,TX,78751-2106,US,US/Central,KATT,2019-09-11 09:21:00,83.0,83.0,74.0,29.43,10.0,SSE,8.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1062304,A-1062401,MapQuest,201.0,2,2019-10-16 13:37:07,2019-10-16 15:22:53,30.46735,-91.065788,,,0.0,Accident on Tams Dr at Acorn St.,10685.0,Tams Dr,L,Baton Rouge,East Baton Rouge,LA,70815-1546,US,US/Central,KBTR,2019-10-16 13:53:00,70.0,70.0,84.0,29.92,10.0,N,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3058703,A-3060362,Bing,,2,2020-11-27 23:15:00,2020-11-28 00:53:41,36.923584999999996,-120.05601999999999,36.923853,-120.05601999999999,0.019,Incident on CA-145 near AVENUE 12 Expect delays.,,Highway 145,R,Madera,Madera,CA,93637,US,US/Pacific,KMAE,2020-11-27 22:53:00,40.0,40.0,73.0,29.99,10.0,E,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
951427,A-951520,MapQuest,201.0,2,2020-02-13 08:08:12,2020-02-13 08:37:57,33.553108,-112.12561000000001,,,0.0,Accident on 31st Ave at Northern Ave.,8001.0,N 31st Ave,R,Phoenix,Maricopa,AZ,85051-6327,US,US/Mountain,KDVT,2020-02-13 07:53:00,44.0,39.0,68.0,28.47,10.0,N,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1344229,A-1344332,MapQuest,201.0,2,2019-06-08 02:16:40,2019-06-08 03:19:24,43.176712,-83.768906,,,0.0,Accident on I-75 Southbound after Exit 131 M-57.,,I-75 S,R,Clio,Genesee,MI,48420,US,US/Eastern,KFNT,2019-06-08 01:53:00,58.0,58.0,65.0,29.24,10.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3806074,A-3812935,Bing,,2,2019-10-21 19:04:00,2019-10-21 20:01:36,37.56712,-122.32005,37.56712,-122.32005,0.0,At E 4th Ave/E 3rd Ave - Accident.,598.0, E 3rd Ave,R,San Mateo,San Mateo,CA,94401-3303,US,US/Pacific,KSFO,2019-10-21 18:56:00,67.0,67.0,54.0,30.09,10.0,W,15.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,True,False,Night,Night,Day,Day
3699775,A-3706625,Bing,,2,2020-01-29 20:29:00,2020-01-29 21:22:27,34.135996999999996,-117.375598,34.135996999999996,-117.375598,0.0,At W Ayala Dr/Exit 70 - Accident.,,CA-210 W,R,Rialto,San Bernardino,CA,92376,US,US/Pacific,KSBD,2020-01-29 20:50:00,64.0,64.0,15.0,28.82,10.0,N,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
1435470,A-1435575,MapQuest,241.0,3,2019-05-30 13:05:29,2019-05-30 15:35:12,44.964855,-93.285881,,,0.0,Lane blocked due to accident on I-94 Eastbound at Exit 231B Lyndale Ave.,,I-94 W,R,Minneapolis,Hennepin,MN,55403,US,US/Central,KMSP,2019-05-30 12:53:00,78.0,78.0,35.0,28.88,10.0,NW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3636917,A-3643752,Bing,,4,2020-04-16 21:26:10,2020-04-16 21:41:10,39.16713,-84.42393,39.14917,-84.44769000000001,1.778,Closed between Red Bank Rd/Exit 9 and Edmondson Rd/Exit 6 - Road closed due to accident. Left lane closed. Traffic problem.,,I-71 S,R,Cincinnati,Hamilton,OH,45213,US,US/Eastern,KLUK,2020-04-16 21:53:00,45.0,42.0,56.0,29.78,10.0,SW,6.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
1191734,A-1191837,MapQuest,201.0,2,2019-09-02 19:54:44,2019-09-02 20:39:05,35.201687,-80.78652199999999,,,0.0,Accident on Wendover Rd at US-74 Independence Blvd.,,N Wendover Rd,R,Charlotte,Mecklenburg,NC,28205,US,US/Eastern,KCLT,2019-09-02 19:52:00,84.0,84.0,49.0,29.2,10.0,SSE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
736758,A-736835,MapQuest,201.0,2,2020-08-21 17:19:42,2020-08-21 17:49:11,45.19463,-93.551292,,,0.0,Accident on I-94 Westbound at MN-101 Main St.,,I-94 W,R,Rogers,Hennepin,MN,55374,US,US/Central,KMIC,2020-08-21 16:53:00,89.0,89.0,52.0,28.84,10.0,S,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1571627,A-1571734,MapQuest,241.0,3,2019-02-06 04:23:13,2019-02-06 04:52:42,32.881149,-85.14733100000001,,,0.0,Right lane blocked due to accident on I-85 Southbound before Exit 2 GA-18 10th St.,,GA-403 S,R,West Point,Troup,GA,31833,US,US/Eastern,KLGC,2019-02-06 04:15:00,61.7,,97.0,30.1,7.0,Calm,,,Light Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
1087331,A-1087428,MapQuest,241.0,3,2019-10-29 17:25:40,2019-10-29 18:10:23,42.69202,-73.824333,,,0.0,Lane blocked due to accident on I-90 Westbound at Exit 2 Washington Ave.,,I-90 E,R,Albany,Albany,NY,12206,US,US/Eastern,KALB,2019-10-29 17:51:00,60.0,60.0,69.0,29.92,10.0,S,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1137155,A-1137258,MapQuest,201.0,2,2019-11-20 06:37:51,2019-11-20 07:37:06,32.898559999999996,-96.968613,,,0.0,Left lane blocked due to accident on Tx-161 Southbound at Royal Ln.,,State Highway 161,R,Irving,Dallas,TX,75039,US,US/Central,KDAL,2019-11-20 06:31:00,60.0,60.0,86.0,29.43,6.0,SSE,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
3506392,A-3513183,Bing,,4,2020-06-22 23:23:01,2020-06-23 01:22:20,40.760490000000004,-74.00332,40.76055,-74.00348000000001,0.009000000000000001,At Lincoln Tunnel West - Accident. Roadwork.,,Lincoln Tunl W,R,New York,New York,NY,10019,US,US/Eastern,KNYC,2020-06-22 23:51:00,77.0,77.0,66.0,29.78,10.0,VAR,5.0,0.0,Fair,True,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3014917,A-3015938,Bing,,2,2020-11-30 17:14:00,2020-11-30 18:35:02,41.320634999999996,-74.090176,41.320955,-74.08756899999999,0.13699999999999998,Incident on US-6 EB near NY-293 Right lane blocked. Expect delays.,751.0, Route 6,R,Fort Montgomery,Orange,NY,10922,US,US/Eastern,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
1530168,A-1530274,MapQuest,201.0,2,2019-03-19 08:43:10,2019-03-19 10:42:07,26.121315,-80.18618000000001,,,0.0,Left lane blocked due to accident on FL-842 Broward Blvd Eastbound before 31st Ave.,,31st Ave,R,Fort Lauderdale,Broward,FL,33312,US,US/Eastern,KFLL,2019-03-19 08:53:00,69.1,,87.0,30.01,10.0,NE,11.5,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1600565,A-1600673,MapQuest,201.0,3,2019-02-20 10:21:40,2019-02-20 11:06:23,44.814747,-93.043465,,,2.77999997139,Accident on US-52 Southbound from MN-55 to CR-56 Concord Blvd.,,Courthouse Blvd,R,Inver Grove Heights,Dakota,MN,55077,US,US/Central,KSGS,2019-02-20 10:15:00,24.3,14.6,91.0,29.73,0.8,East,9.2,,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1203264,A-1203367,MapQuest,201.0,2,2019-09-08 18:07:51,2019-09-08 19:06:41,30.216169,-97.526466,,,0.0,Accident on River Timber Dr at Citation Dr.,18399.0,River Timber Dr,R,Del Valle,Travis,TX,78617-2946,US,US/Central,KAUS,2019-09-08 17:53:00,99.0,99.0,30.0,29.29,10.0,SSE,15.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1366174,A-1366277,MapQuest,201.0,2,2019-06-20 11:52:07,2019-06-20 12:53:56,35.048229,-81.984756,,,0.0,Accident on SC-9 near Rainbow Lake Rd.,,Rainbow Lake Rd,R,Boiling Springs,Spartanburg,SC,29316,US,US/Eastern,KSPA,2019-06-20 11:55:00,84.0,84.0,51.0,28.94,10.0,SW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
2966488,A-2966814,Bing,,2,2020-10-15 14:44:00,2020-10-16 05:09:30,39.721573,-105.008751,39.726393,-105.013681,0.424,Queuing traffic on I-25 from CO-26/Alameda Ave/Exit 208 (I-25) to US-6/6th Ave/Exit 209 (I-25) due to accident.,,I-25 N,R,Denver,Denver,CO,80204,US,US/Mountain,KBJC,2020-10-15 14:59:00,54.0,54.0,28.0,24.54,15.0,ENE,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
540690,A-540711,MapQuest,201.0,3,2020-12-09 18:40:07,2020-12-09 19:56:00,30.166967,-97.786423,,,0.0,Accident on I-35 Southbound at Slaughter Ln.,,I-35 S,R,Austin,Travis,TX,78748,US,US/Central,KAUS,2020-12-09 18:53:00,59.0,59.0,35.0,29.48,10.0,SSW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
4189930,A-4196796,Bing,,4,2019-06-07 19:40:30,2019-06-07 20:10:28,39.40104,-77.42922,39.39894,-77.43709,0.445,Ramp closed to I-70/Dwight D Eisenhower Hwy WB - Road closed due to accident.,,US-40 E,R,Frederick,Frederick,MD,21703,US,US/Eastern,KFDK,2019-06-07 19:47:00,75.0,75.0,65.0,29.64,10.0,N,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3469194,A-3475981,Bing,,2,2020-05-06 15:51:46,2020-05-06 16:36:46,38.12364,-85.74851,38.12364,-85.74851,0.0,At KY-841/Gene Snyder Fwy - Accident.,,National Tpke,R,Fairdale,Jefferson,KY,40118,US,US/Eastern,KSDF,2020-05-06 15:56:00,61.0,61.0,30.0,29.51,10.0,WNW,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
3040785,A-3042187,Bing,,2,2020-11-08 16:15:30,2020-11-09 02:23:01,43.662986,-116.35315800000001,43.661924,-116.354546,0.10099999999999999,Stationary traffic on US-20 W - ID-55 - US-20 E - US-26 E - US-26 W from Stone Rd to W Bristol Heights Dr due to accident.,13389.0, E Chinden Blvd,R,Boise,Ada,ID,83713-1335,US,US/Mountain,KBOI,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3827692,A-3834556,Bing,,3,2019-11-06 14:19:46,2019-11-06 14:47:05,39.08578,-94.59224,39.08746,-94.5918,0.11800000000000001,At Pennway St/Exit 1 - Accident. Two lanes blocked.,,Avenida Cesar E Chavez,R,Kansas City,Jackson,MO,64108,US,US/Central,KMKC,2019-11-06 13:54:00,65.0,65.0,45.0,29.31,10.0,VAR,3.0,0.0,Fair,False,False,True,True,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1057756,A-1057853,MapQuest,201.0,2,2019-10-15 04:59:17,2019-10-15 06:28:55,42.961009999999995,-85.649384,,,0.0,Accident on Eastern Ave at Lake Dr.,96.0,Eastern Ave SE,L,Grand Rapids,Kent,MI,49503-5910,US,US/Eastern,KGRR,2019-10-15 04:53:00,35.0,31.0,85.0,29.21,10.0,E,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
1436967,A-1437072,MapQuest,201.0,2,2019-04-30 16:38:48,2019-04-30 17:55:42,39.9156,-86.157829,,,0.0,Accident on Meridian St at 87th St.,8777.0,N Meridian St,L,Indianapolis,Marion,IN,46260-2382,US,US/Eastern,KEYE,2019-04-30 16:53:00,67.0,67.0,68.0,29.19,10.0,ESE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3347776,A-3353455,Bing,,2,2020-12-01 20:29:00.000000000,2020-12-01 21:47:16.000000000,33.939877,-118.291078,33.93991,-118.291583,0.028999999999999998,Incident on W 106TH ST near S VERMONT AVE Drive with caution.,850.0, W 106th St,L,Los Angeles,Los Angeles,CA,90044-4438,US,US/Pacific,KHHR,2020-12-01 20:53:00,57.0,57.0,72.0,29.96,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3238293,A-3242470,Bing,,2,2020-12-28 06:29:41,2020-12-28 09:32:58,25.898292,-80.23145699999999,25.901213000000002,-80.231588,0.20199999999999999,Incident on NW 19TH AVE near OPA LOCKA BLVD Drive with caution.,13601.0, NW 19th Ave,R,Opa Locka,Miami-Dade,FL,33054-4217,US,US/Eastern,KOPF,2020-12-28 06:53:00,60.0,60.0,93.0,30.17,10.0,N,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
2966412,A-2966737,Bing,,2,2020-11-08 11:38:00,2020-11-08 14:12:30,33.928709999999995,-118.229724,33.92843,-118.237794,0.46299999999999997,Slow traffic on I-105 from Long Beach Blvd (I-105) to Wilmington Ave (I-105) due to accident.,,Glenn Anderson Fwy W,R,Los Angeles,Los Angeles,CA,90059,US,US/Pacific,KHHR,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
919939,A-920031,MapQuest,201.0,2,2020-01-28 08:57:06,2020-01-28 10:26:58,33.523102,-85.344978,,,0.0,Accident on AL-46 Main St at CR-49 Frank Ledbetter Memorial Dr.,20498.0,Highway 46,L,Ranburne,Cleburne,AL,36273,US,US/Eastern,KCTJ,2020-01-28 08:55:00,39.0,35.0,93.0,28.67,7.0,NW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3250000,A-3254353,Bing,,2,2020-11-15 02:24:00,2020-11-15 04:06:50,34.175509000000005,-118.553476,34.175826,-118.55347900000001,0.022000000000000002,Incident on TAMPA AVE near HATTERAS ST Drive with caution.,5732.0, Tampa Ave,R,Tarzana,Los Angeles,CA,91356-1129,US,US/Pacific,KVNY,2020-11-15 02:51:00,55.0,55.0,34.0,29.26,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3076666,A-3078584,Bing,,2,2020-12-26 16:04:24.000000000,2020-12-26 17:49:24.000000000,45.637535,-120.77932,45.619634999999995,-120.73911499999998,2.303,Incident on US-97 SB near MP 5 Drive with caution.,75749.0, Highway 97,R,Wasco,Sherman,OR,97065-3040,US,US/Pacific,KDLS,2020-12-26 15:53:00,35.0,35.0,85.0,29.89,5.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1627458,A-1627566,MapQuest,201.0,2,2019-01-08 07:28:29,2019-01-08 07:58:00,37.96751,-76.750748,,,0.0,Left hand shoulder blocked and left lane blocked due to accident on VA-3 History Land Hwy Eastbound at VA-3-BR Main St.,15602.0,History Land Hwy,R,Warsaw,Richmond County,VA,22572-3037,US,US/Eastern,KXSA,2019-01-08 07:35:00,41.9,38.2,91.0,30.1,10.0,South,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3599146,A-3605969,Bing,,3,2020-03-28 04:38:15,2020-03-28 05:08:15,41.838770000000004,-87.63104,41.838770000000004,-87.63104,0.0,At 31st St/Exit 54 - Accident.,,Dan Ryan Expy S,R,Chicago,Cook,IL,60616,US,US/Central,KMDW,2020-03-28 04:53:00,49.0,49.0,100.0,28.99,6.0,E,3.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
